Name,Score,Japanese name,Type,Favorites,Completed
Tactics,7.23,タクティクス,TV,184,15626
Tenjou Tenge,6.93,天上天下,TV,647,100783
Tokyo Underground,6.63,東京アンダーグラウンド,TV,41,13386
Triangle Heart: Sweet Songs Forever,6.19,とらいあんぐるハート -Sweet Songs Forever-,OVA,6,3163
Tsubasa Chronicle,7.55,ツバサ・クロニクル,TV,2284,106909
Ultra Maniac,7.18,ウルトラマニアック,TV,141,15384
Ultra Maniac OVA,6.69,ウルトラマニアック,OVA,4,3304
Vandread,7.21,ヴァンドレッド,TV,436,53218
Vandread: The Second Stage,7.42,ヴァンドレッド the second stage,TV,117,40117
Tenkuu no Escaflowne,7.7,天空のエスカフローネ,TV,2086,70674
Whistle!,7.39,ホイッスル！,TV,73,7300
Xenosaga The Animation,6.37,ゼノサーガ THE ANIMATION,TV,46,9556
Initial D First Stage,8.29,頭文字〈イニシャル〉D,TV,6949,148516
Initial D Second Stage,8.12,頭文字〈イニシャル〉D SECOND STAGE,TV,691,114742
Initial D Third Stage,7.89,頭文字〈イニシャル〉D THIRD STAGE,Movie,469,98309
Gosenzo San'e,6.11,御先祖賛江,OVA,4,1072
Love Hina,7.14,ラブひな,TV,1584,154064
Love Hina Again,7.25,ラブ ひな Again,OVA,95,66654
Love Hina Christmas Special: Silent Eve,7.34,ラブひなクリスマススペシャル ～サイレント・イヴ～,Special,49,47981
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.21,ラブひな春スペシャル 〜キミサクラチルナカレ!!〜,Special,23,42726
Maburaho,6.8,まぶらほ,TV,259,58233
Macross Zero,7.55,マクロス ゼロ,OVA,125,22070
Onegai☆Teacher,7.17,おねがい☆ティーチャー,TV,926,109656
Onegai☆Twins,6.88,おねがい☆ツインズ,TV,192,60488
Rizelmine,6.55,りぜるまいん,TV,51,12205
Speed Grapher,7.35,スピードグラファー,TV,602,41984
Sen to Chihiro no Kamikakushi,8.83,千と千尋の神隠し,Movie,25610,1124666
Tenshi na Konamaiki,7.48,天使な小生意気,TV,133,9671
Video Girl Ai,7.21,電影少女 VIDEO・GIRL・AI,OVA,107,13879
Wolf's Rain,7.82,ウルフズレイン,TV,5716,135944
Words Worth,6.75,ワーズ・ワース,OVA,38,4406
Yumeria,6.11,ゆめりあ,TV,35,15177
Samurai Champloo,8.5,サムライチャンプルー,TV,29414,551621
Lodoss-tou Senki: Eiyuu Kishi Den,7.16,ロードス島戦記　英雄騎士伝,TV,117,11810
Lodoss-tou Senki,7.4,ロードス島戦記,OVA,487,24276
R.O.D: Read or Die,7.67,R.O.D リード・オア・ダイ,OVA,317,39760
R.O.D: The TV,7.55,アール・オー・ディー ザ・ティーヴィー,TV,423,32941
Ranma ½,7.76,らんま1/2,TV,3665,97406
Pure Mail,6.26,ピュアメール,OVA,14,1834
Project A-Ko,6.86,プロジェクトＡ子,Movie,104,8473
Pia Carrot e Youkoso!!,6.02,Piaキャロットへようこそ!!,OVA,5,1715
Pia Carrot e Youkoso!! 2,6.15,Piaキャロットへようこそ!! 2,OVA,4,1247
Pia Carrot e Youkoso!! 2 DX,6.31,Pia キャロット へ ようこそ!! 2 DX,OVA,3,1224
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.94,Pia キャロットへようこそ！！劇場版～さやかの恋物語～,Movie,3,1498
Shin Angel,6.28,新エンジェル,OVA,13,1125
Kidou Senkan Nadesico,7.52,機動戦艦ナデシコ,TV,420,20469
Kidou Senkan Nadesico: The Prince of Darkness,6.77,機動戦艦ナデシコ The prince of darkness,Movie,33,9758
Kuro no Danshou,5.76,黒の断章,OVA,7,1163
Mezzo Forte,6.65,メゾフォルテ,OVA,93,16749
Mezzo DSA,6.68,メゾ,TV,33,9251
Dragon Ball,8,ドラゴンボール,TV,13454,600337
Dragon Ball GT,6.48,ドラゴンボールGT,TV,1878,408494
Elfen Lied,7.56,エルフェンリート,TV,23830,885356
FLCL,8.03,フリクリ,OVA,23432,409775
Jigoku Shoujo,7.65,地獄少女,TV,3283,128781
Ninin ga Shinobuden,6.92,ニニンがシノブ伝,TV,142,17164
