2020年,尾花沢市,14984,7329,7655
2020年,南陽市,30437,14658,15779
2020年,山辺町,13732,6604,7128
2020年,中山町,10751,5251,5500
2020年,河北町,17649,8528,9121
2020年,西川町,4965,2389,2576
2020年,朝日町,6371,3152,3219
2020年,大江町,7650,3798,3852
2020年,大石田町,6581,3215,3366
2020年,金山町,5074,2466,2608
2020年,最上町,8097,3914,4183
2020年,舟形町,5007,2420,2587
2020年,真室川町,7205,3408,3797
2020年,大蔵村,3030,1500,1530
2020年,鮭川村,3904,1888,2016
2020年,戸沢村,4203,1989,2214
2020年,高畠町,22471,10952,11519
2020年,川西町,14541,7090,7451
2020年,小国町,7108,3573,3535
2020年,白鷹町,12897,6357,6540
2020年,飯豊町,6615,3218,3397
2020年,三川町,7600,3692,3908
2020年,庄内町,20160,9631,10529
2020年,遊佐町,13033,6190,6843
2020年,福島県,1834198,904062,930136
2020年,福島市,282802,138208,144594
2020年,会津若松市,117433,56059,61374
2020年,郡山市,327872,161876,165996
2020年,いわき市,333202,163591,169611
2020年,白河市,59531,29690,29841
2020年,須賀川市,75039,36790,38249
2020年,喜多方市,44810,21440,23370
2020年,相馬市,34884,17554,17330
2020年,二本松市,53593,26314,27279
2020年,田村市,35192,17329,17863
2020年,南相馬市,59053,31021,28032
2020年,伊達市,58250,28300,29950
2020年,本宮市,30240,15015,15225
2020年,桑折町,11464,5492,5972
2020年,国見町,8641,4111,4530
2020年,川俣町,12186,5994,6192
2020年,大玉村,8904,4427,4477
2020年,鏡石町,12316,6029,6287
2020年,天栄村,5198,2567,2631
2020年,下郷町,5267,2601,2666
2020年,檜枝岐村,507,261,246
2020年,只見町,4041,1974,2067
2020年,南会津町,14453,7124,7329
2020年,北塩原村,2554,1290,1264
2020年,西会津町,5765,2789,2976
2020年,磐梯町,3332,1607,1725
2020年,猪苗代町,13559,6532,7027
2020年,会津坂下町,15068,7241,7827
2020年,湯川村,3082,1485,1597
2020年,柳津町,3087,1500,1587
2020年,三島町,1457,717,740
2020年,金山町,1867,911,956
2020年,昭和村,1247,622,625
2020年,会津美里町,19030,9114,9916
2020年,西郷村,20809,10640,10169
2020年,泉崎村,6214,3064,3150
2020年,中島村,4889,2398,2491
2020年,矢吹町,17307,8658,8649
2020年,棚倉町,13330,6577,6753
2020年,矢祭町,5404,2625,2779
2020年,塙町,8321,4074,4247
2020年,鮫川村,3058,1532,1526
2020年,石川町,14655,7337,7318
2020年,玉川村,6403,3204,3199
2020年,平田村,5830,2884,2946
2020年,浅川町,6041,3032,3009
2020年,古殿町,4826,2369,2457
2020年,三春町,17026,8452,8574
2020年,小野町,9482,4676,4806
2020年,広野町,5408,3304,2104
2020年,楢葉町,3700,2138,1562
2020年,富岡町,2130,1543,587
2020年,川内村,2046,1028,1018
2020年,大熊町,847,756,91
2020年,浪江町,1896,1346,550
2020年,葛尾村,421,241,180
2020年,新地町,7910,3945,3965
2020年,飯舘村,1319,664,655
2020年,茨城県,2868554,1431165,1437389
2020年,水戸市,270810,132547,138263
2020年,日立市,174635,87139,87496
2020年,土浦市,142160,70962,71198
2020年,古河市,139396,69746,69650
2020年,石岡市,73160,36193,36967
2020年,結城市,50627,25421,25206
2020年,龍ケ崎市,76455,38010,38445
2020年,下妻市,42554,21421,21133
2020年,常総市,60890,30479,30411
2020年,常陸太田市,48630,23710,24920
2020年,高萩市,27722,13807,13915
2020年,北茨城市,41836,20760,21076
2020年,笠間市,73241,35797,37444
2020年,取手市,104545,51472,53073
2020年,牛久市,84677,41776,42901
2020年,つくば市,241785,121071,120714
2020年,ひたちなか市,156664,79298,77366
2020年,鹿嶋市,66965,34440,32525
2020年,潮来市,27624,13674,13950
2020年,守谷市,68426,34151,34275
2020年,常陸大宮市,39294,19394,19900
2020年,那珂市,53530,26045,27485
2020年,筑西市,100819,50025,50794
2020年,坂東市,52292,26591,25701
2020年,稲敷市,39079,19500,19579
2020年,かすみがうら市,40114,20349,19765
2020年,桜川市,39159,19370,19789
2020年,神栖市,95466,49394,46072
2020年,行方市,32215,15980,16235
2020年,鉾田市,45973,23369,22604
2020年,つくばみらい市,49898,24888,25010
2020年,小美玉市,48902,24592,24310
2020年,茨城町,31417,15565,15852
2020年,大洗町,15725,7792,7933
2020年,城里町,18109,8914,9195
2020年,東海村,37900,19237,18663
2020年,大子町,15744,7691,8053
2020年,美浦村,14611,7482,7129
2020年,阿見町,48578,24247,24331
2020年,河内町,8233,4050,4183
2020年,八千代町,21034,10992,10042
2020年,五霞町,8100,4070,4030
2020年,境町,24208,12269,11939
2020年,利根町,15352,7485,7867
2020年,栃木県,1934016,965058,968958
2020年,宇都宮市,519026,259636,259390
2020年,足利市,144796,71427,73369
2020年,栃木市,155628,77412,78216
2020年,佐野市,116220,57503,58717
2020年,鹿沼市,94074,46592,47482
2020年,日光市,77651,37815,39836
2020年,小山市,166791,84531,82260
2020年,真岡市,78221,39472,38749
2020年,大田原市,72123,35407,36716
2020年,矢板市,31175,15411,15764
2020年,那須塩原市,115282,57295,57987
2020年,さくら市,44541,23105,21436
